ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,tax_assessed_value,overpriced,date
10009 Five Oaks Rd,Fairfax,VA,22031,720000,596310.0,123690.0,2021-08-30
10101 Glenmere Rd,Fairfax,VA,22032,700000,627230.0,72770.0,2021-08-30
8259 Clifton Farm Ct,Alexandria,VA,22306,559900,470070.0,89830.0,2021-08-30
2833 Knollside Ln,Vienna,VA,22180,510000,496160.0,13840.0,2021-08-30
7026 Quander Rd,Alexandria,VA,22307,649000,571500.0,77500.0,2021-08-30
7033 Solomon Seal Ct,Springfield,VA,22152,600000,505340.0,94660.0,2021-08-30
2471 Rolling Plains Dr,Herndon,VA,20171,549000,515440.0,33560.0,2021-08-30
6197 Wellington Commons Dr,Alexandria,VA,22310,525000,501640.0,23360.0,2021-08-30
11722 Mossy Creek Ln,Reston,VA,20191,524900,446260.0,78640.0,2021-08-30
12021 Johns Pl,Fairfax,VA,22033,595000,522780.0,72220.0,2021-08-30
6149 Summer Park Ln,Alexandria,VA,22315,559900,497930.0,61970.0,2021-08-30
4909 Terrell St,Annandale,VA,22003,675000,608200.0,66800.0,2021-08-30
7349 Old Pohick Way,Lorton,VA,22079,540000,411490.0,128510.0,2021-08-30
9722 Loch Linden Ct,Fairfax,VA,22032,699900,614560.0,85340.0,2021-08-30
5212 Noyes Ct,Fairfax,VA,22032,759714,636000.0,123714.0,2021-08-30
6465 Autumn Glen Ct,Alexandria,VA,22312,584900,435070.0,149830.0,2021-08-30
6015 Carrindale Ct,Burke,VA,22015,700000,590820.0,109180.0,2021-08-30
5810 Fitzhugh St,Burke,VA,22015,685000,600400.0,84600.0,2021-08-30
6905 Raspberry Plain Pl,Springfield,VA,22153,725000,624890.0,100110.0,2021-08-30
3105 Mcgeorge Ter,Alexandria,VA,22309,699000,548840.0,150160.0,2021-08-30
10004 Columbine St,Great Falls,VA,22066,799000,719940.0,79060.0,2021-08-30
8306 Cottage St,Vienna,VA,22180,775000,649650.0,125350.0,2021-08-30
2850 Yarn Ct,Falls Church,VA,22042,725000,613910.0,111090.0,2021-08-30
4027 Quiet Creek Dr,Fairfax,VA,22033,700000,571240.0,128760.0,2021-08-30
2955 Cashel Ln,Vienna,VA,22181,615000,507770.0,107230.0,2021-08-30
7825 Francis Dickens Ln,Annandale,VA,22003,699950,595920.0,104030.0,2021-08-30
7827 Mount Woodley Pl,Alexandria,VA,22306,465000,417300.0,47700.0,2021-08-30
4106 Hazelwood Ct,Fairfax,VA,22030,579000,502920.0,76080.0,2021-08-30
10318 Collingham Dr,Fairfax,VA,22032,785000,631890.0,153110.0,2021-08-30
7515 Collins Meade Way,Alexandria,VA,22315,610000,524590.0,85410.0,2021-08-30
6309 Battlement Way,Alexandria,VA,22312,615000,464840.0,150160.0,2021-08-30
7507 Cadbury Row,Alexandria,VA,22315,614499,546870.0,67629.0,2021-08-30
7609 Audubon Meadow Way,Alexandria,VA,22306,575000,525510.0,49490.0,2021-08-30
612 Austin Ln,Herndon,VA,20170,649900,471530.0,178370.0,2021-08-30
3922 Green Look Ct,Fairfax,VA,22033,629950,568490.0,61460.0,2021-08-30
6114 Berlee Dr,Alexandria,VA,22312,730000,692020.0,37980.0,2021-08-30
6873 Drifton Ct,Centreville,VA,20121,539999,426050.0,113949.0,2021-08-30
2956 Short Ct,Vienna,VA,22181,739900,513460.0,226440.0,2021-08-30
6709 Elder Ave,Springfield,VA,22150,629000,478170.0,150830.0,2021-08-30
2032 Maleady Dr,Herndon,VA,20170,499900,438380.0,61520.0,2021-08-30
13256 Coppermill Dr,Herndon,VA,20171,550000,485220.0,64780.0,2021-08-30
5906 Ians Way,Alexandria,VA,22315,559100,482760.0,76340.0,2021-08-30
6641 Medinah Ln,Alexandria,VA,22312,514900,467560.0,47340.0,2021-08-30
3807 Mode St,Fairfax,VA,22031,675000,506100.0,168900.0,2021-08-30
11605 Clubhouse Ct,Reston,VA,20190,650000,557760.0,92240.0,2021-08-30
9003 Daum Ct,Springfield,VA,22153,625000,533640.0,91360.0,2021-08-30
2329 Liberty Loop,Herndon,VA,20171,741170,200000.0,541170.0,2021-08-30
2323 Liberty Loop,Herndon,VA,20171,794970,200000.0,594970.0,2021-08-30
7757 Durer Ct,Springfield,VA,22153,439999,372580.0,67419.0,2021-08-30
13380 Frinks Ct,Herndon,VA,20170,585000,488920.0,96080.0,2021-08-30
13140 Lazy Glen Ct,Herndon,VA,20171,679000,547410.0,131590.0,2021-08-30
2415 Windbreak Dr,Alexandria,VA,22306,449900,386230.0,63670.0,2021-08-30
1009 Emerald Dr,Alexandria,VA,22308,750000,747680.0,2320.0,2021-08-30
11110 Lakespray Way,Reston,VA,20191,749900,688010.0,61890.0,2021-08-30
7328 Rockford Dr,Falls Church,VA,22043,689900,603980.0,85920.0,2021-08-30
6024 Kelsey Ct,Falls Church,VA,22044,725000,657370.0,67630.0,2021-08-30
6195 Manchester Park Cir,Alexandria,VA,22310,684900,615840.0,69060.0,2021-08-30
4009 Lake Glen Rd,Fairfax,VA,22033,579000,520390.0,58610.0,2021-08-30
8930 Royal Astor Way,Fairfax,VA,22031,549900,459160.0,90740.0,2021-08-30
10902 Howland Dr,Reston,VA,20191,729000,654680.0,74320.0,2021-08-30
10009 Park Woods Ln,Burke,VA,22015,650000,558180.0,91820.0,2021-08-30
5302 Hampton Frst,Fairfax,VA,22030,649900,587740.0,62160.0,2021-08-30
2505 Popkins Ln,Alexandria,VA,22306,599000,462170.0,136830.0,2021-08-30
6126 Knollwood Dr,Falls Church,VA,22041,725000,609230.0,115770.0,2021-08-30
5811 Clermont Dr,Alexandria,VA,22310,674990,669860.0,5130.0,2021-08-30
4713 Wakefield Chapel Rd,Annandale,VA,22003,719900,677900.0,42000.0,2021-08-30
2500 Fairview Dr,Alexandria,VA,22306,650000,547920.0,102080.0,2021-08-30
12499 Lucas Dr,Fairfax,VA,22033,654000,554680.0,99320.0,2021-08-30
5604 Glenwood Mews Dr,Alexandria,VA,22315,599000,563140.0,35860.0,2021-08-30
7618 Roanoke Ave,Annandale,VA,22003,599900,496080.0,103820.0,2021-08-30
9603 Tinsmith Ln,Burke,VA,22015,764900,626940.0,137960.0,2021-08-30
2425 Hunter Mill Rd,Vienna,VA,22181,775000,800500.0,-25500.0,2021-08-30
5584 Sequoia Farms Dr,Centreville,VA,20120,675000,550450.0,124550.0,2021-08-30
2006 Dexter Dr,Falls Church,VA,22043,776000,640840.0,135160.0,2021-08-30
8301 Frye Rd,Alexandria,VA,22309,649000,518800.0,130200.0,2021-08-30
13638 Air And Space Museum Pkwy,Herndon,VA,20171,759900,616100.0,143800.0,2021-08-30
6110 Fairfield Pl,Alexandria,VA,22310,549950,486960.0,62990.0,2021-08-30
7301 Woodley Pl,Falls Church,VA,22046,759900,717210.0,42690.0,2021-08-30
14007 Betsy Ross Ln,Centreville,VA,20121,524900,431620.0,93280.0,2021-08-30
7558 Cross Gate Ln,Alexandria,VA,22315,664999,541480.0,123519.0,2021-08-30
9602 Braddock Rd,Fairfax,VA,22032,699999,602790.0,97209.0,2021-08-30
13712 Penwith Ct,Chantilly,VA,20151,469000,382840.0,86160.0,2021-08-30
7307 Westmore Dr,Springfield,VA,22150,525000,486910.0,38090.0,2021-08-30
2308 Hunters Square Ct,Reston,VA,20191,392500,347950.0,44550.0,2021-08-30
4313 Dubois St,Alexandria,VA,22310,625000,509160.0,115840.0,2021-08-30
6738 Fern Ln,Annandale,VA,22003,750000,613280.0,136720.0,2021-08-30
4350 Thomas Brigade Ln,Fairfax,VA,22033,589000,502050.0,86950.0,2021-08-30
7712 Wiley Creek Way,Alexandria,VA,22315,639900,537510.0,102390.0,2021-08-30
1668 Valencia Way,Reston,VA,20190,507000,436560.0,70440.0,2021-08-30
8116 Squirrel Run Rd,Springfield,VA,22152,574888,474720.0,100168.0,2021-08-30
8714 Camden St,Alexandria,VA,22308,719900,611230.0,108670.0,2021-08-30
9435 Wallingford Dr,Burke,VA,22015,674900,659120.0,15780.0,2021-08-30
6348 Field Flower Trl,Centreville,VA,20121,494000,396550.0,97450.0,2021-08-30
10445 Red Granite Ter,Oakton,VA,22124,519500,476130.0,43370.0,2021-08-30
3015 Summershade Ct,Herndon,VA,20171,599988,520170.0,79818.0,2021-08-30
6915 Inlet Cove Dr,Fort Belvoir,VA,22060,569900,502000.0,67900.0,2021-08-30
5487 Safe Harbor Ct,Fairfax,VA,22032,539000,443510.0,95490.0,2021-08-30
1104 Hertford St,Herndon,VA,20170,580000,490920.0,89080.0,2021-08-30
7710 Marshall Heights Ct,Falls Church,VA,22043,624900,592880.0,32020.0,2021-08-30
13677 Neil Armstrong Ave,Herndon,VA,20171,760000,567060.0,192940.0,2021-08-30
5456 Braddock Ridge Dr,Centreville,VA,20120,615000,465630.0,149370.0,2021-08-30
7455 Madeira Pl,Annandale,VA,22003,619000,478610.0,140390.0,2021-08-30
8117 Norwood Dr,Alexandria,VA,22309,535000,451830.0,83170.0,2021-08-30
7747 Frances Dr,Alexandria,VA,22306,699900,511690.0,188210.0,2021-08-30
9212 Claytonia Ln,Annandale,VA,22003,759000,619820.0,139180.0,2021-08-30
5526 La Cross Ct,Fairfax,VA,22032,500000,446420.0,53580.0,2021-08-30
8759 Cold Plain Ct,Springfield,VA,22153,675000,537090.0,137910.0,2021-08-30
5713 Heritage Hill Ct,Alexandria,VA,22310,534900,433960.0,100940.0,2021-08-30
9507 Hunt Square Ct,Springfield,VA,22153,537500,472120.0,65380.0,2021-08-30
4033 Estabrook Dr,Annandale,VA,22003,650000,544940.0,105060.0,2021-08-30
